company,address,location_phones,web_company
CBC Corporation India Pvt Ltd,"  Address - 2nd Floor, B Wing, Marwah Centre, Krishanlal Marwa				  				  Andheri East","				        Mumbai	                Maharashtra , 400072	 (022) 28579798",www.cbc.co.jp
CBL Data Recovery Technologies India Pvt Ltd,"  Address - No 10, Sadanand CHS St. Anthonys Street Kalina				        Mumbai	                Maharashtra , 400098	 (022) 26651499",www.cbltech.in,
CBSI India Pvt Ltd,"  Address - Ground Floor,Sagar Complex,39/2				  				  Bannerghatta Road","				        Bangalore / Bengaluru	                Karnataka , 560029	 (080) 40254343",www.cbsiglobal.com
CBT Infotech Pvt Ltd,"  Address - 702, Crystal Center,				  				  Raheja Vihar, Opp. Chandivali Studio, Chandivali, Andheri (East","				        Mumbai	                Maharashtra , 400072	 (022) 40829400",www.cbtinfotech.com
CCE Software Pvt Ltd,"  Address - alfa centre , 1st floor , 216 , indra nagar ,				  				  double road.","				        Bangalore / Bengaluru	                Karnataka , 560038	 (080) 25292884",www.ccesoft.com
CCS Computers Pvt Ltd,"  Address - 3rd, Floor, Skipper House, 62-63, Nehru Place				        New Delhi	                Delhi , 110019	 (011) 26288464  26233959",,
CCS Infotech Ltd,"  Address - CCS Towers, 14,Periyar Road, T.Nagar				        Chennai	                Tamil Nadu , 600017	 (044) 28341121  9940251111",,
CCS Technologies Pvt Ltd,"  Address - 39/5173, Panampilly Nagar				        Ernakulam	                Kerala , 682036	 (0484) 4147000  4010350",www.ccstechnologies.in,
CD infotech Pvt Ltd,  Address - 225 Unique Induartial Estates				  				  Opp. Sidhivinayak Temple Prabhadevi,"				        Mumbai	                Maharashtra , 400025	 (022) 24325589  24332643",www.cdinfotech.com
CD Tech Innovations Pvt Ltd,"  Address - No.95, Pantheon Road Egmore				        Chennai	                Tamil Nadu , 600008	 (044) 28193576  28193174",www.cdtech.in,
CDG Broadcast Pvt Ltd,"  Address - 206, Madhuban building, 55, Nehru Place				        New Delhi	                Delhi , 110019	 (011) 26294577",,
CDK Global India Pvt Ltd,"  Address - 4th & 5th Floor, Building # 12B,				  				  Raheja Mindspace, Madhapur,Hitech City","				        Hyderabad	                Telangana , 500081	 (040) 67566000",www.cdkglobal.com
CDN Design Studio,"  Address - 304,Princes' Business Skypark A. B. Road, Indore				        Indore	                Madhya Pradesh , 452001	 (0731) 4035928",www.cdndesignstudio.com,
CDN Software Solutions Pvt Ltd,"  Address - Unit No. 304, Third Floor, Princes' Business Skypark,				  				  A.B Road","				        Indore	                Madhya Pradesh , 452001	 (0731) 4035927",www.cdnsol.com
CDNS Technology India Pvt Ltd,"  Address - 2nd Floor, Thompil Building				  				  Vellayambalam Sasthamangalam Road, Elankom Gardens","				        Thiruvananthapuram	                Kerala , 695010	 (0471) 4063030",www.cdns.co.in
CDP India Pvt Ltd,"  Address - B2-603 Marathon NextGen Innova				  				  Off. G.K. Marg, Lower Parel","				        Mumbai	                Maharashtra , 400013	 (022) 67674600  67674601",www.cdpindia.com
Cears Infotech,"  Address - A-401, RJD Business Hub Naginawadi				  				  atel Nagar Katargam","				        Surat	                Gujarat , 395004	 (0261) 6989898",www.cearsinfotech.com
CEBSWorldwide,"  Address - F-451, Sector-63				        Noida	                Uttar Pradesh , 201301	 (0120) 4561739",www.cebsworldwide.com,
Cedar Software Technologies,  Address - Aride Ocean IT Park Kinfra				  				  Kalamassery,"				        Kochi	                Kerala , 682017	 (0484) 9961657111",www.cedarsolutions.in
Ceeco Technologies Pvt Ltd,"  Address - C-105, Naraina Industrial Area, Phase I				        New Delhi	                Delhi , 110028	 (011) 47655655",www.ceeco.in,
Cegonsoft Pvt Ltd,"  Address - 56 17th Cross between 6th and 7th main, Malleshwaram				        Bangalore / Bengaluru	                Karnataka , 560055	 (080) 8494903779",www.cegonsoft.com,
CEI India Pvt Ltd,"  Address - 6th Floor ,The Oval,10-12 Venkatanarayana Road,T. Nagar				        Chennai	                Tamil Nadu , 600017	 (044) 42147393",www.ceiamerica.com,
Celestial Biolabs Ltd,"  Address - Plot No 59, Road No 12,				  				  APIIC Tech Park, IDA Nacharam","				        Hyderabad	                Telangana , 500076	 (040) 9985541924",www.celestialbiolabs.com
Celestial Systems Pvt Ltd,"  Address - Unit S-504, 5th Floor, WTC Brigade Gateway Campus				  				  26/1 Dr. Rajkumar Road, Malleswaram West","				        Bangalore / Bengaluru	                Karnataka , 560055	 (080) 41151186",www.celestialsys.com
Cell Technologies Pvt Ltd,  Address - C-15 Thejaswini Technopark				  				  Trivandrum,"				        Thiruvananthapuram	                Kerala , 695581	 (0471) 3043041 3043048",www.cellplc.com
CellarStone India Pvt Ltd,"  Address - A-6, Mogappair West Industrial Estate				        Chennai	                Tamil Nadu , 600037	 (044) 26524327	  26524326",www.cellarstone.com,
CellElectro Technologies,"  Address - IX/243, Neernakudy,				  				  Pulluvazhy Post,Perumbavoor","				        Kochi	                Kerala , 683542	 (0484) 2254127",www.cellelectro.com
Cellx Solution Pvt Ltd,"  Address - 2, Building - 4, Narshinga Nagar, Near Dena Bank,				  				  Gangapur Road","				        Nashik	                Maharashtra , 422005	 (0253) 9730247247 6602255",www.cellx.in
Celoxis Technologies Pvt Ltd,"  Address - 3 Shreyas Eterna, NDA Pashan Road,				  				  Bavdhan,","				        Pune	                Maharashtra , 411021	 (020) 22951088  22951288",www.celoxis.com
Celusion Technologies Pvt Ltd(SMS ConneXion),"  Address - 302-A, Dosti Pinnacle,Road Number 22,				  				  Wagle Industrial Estate, Thane (W)","				        Mumbai	                Maharashtra , 400604	 (022) 42213500  42213506",www.celusion.com
CEM Business Solutions Pvt Ltd,"  Address - 1/2,Ramcons Fortuna Towers,				  				  Kodambakam High Rd,","				        Chennai	                Tamil Nadu , 600034	 (044) 42023779",www.cembs.com
Cenduit India Services Pvt Ltd,"  Address - Safina Towers, # 3,				  				  Ground & first floor,  Ali Askar Road","				        Bangalore / Bengaluru	                Karnataka , 560052	 (080) 40196600",www.cenduit.com
Center for Business Intelligence & Analytics (C-BIA),"  Address - Vatika Buisness centre Level- 5 Tech Park-1				  				  Airport Road, Yerwada","				        Pune	                Maharashtra , 411006	 (020) 64018181",www.c-bia.com
Centerac Technologies Ltd,"  Address - Daulatram Mansion, 4th Floor St. Kittridge Road				  				  Colaba","				        Mumbai	                Maharashtra , 400005	 (022) 66291117",www.centerac.com
Centillion Solutions & Services Pvt Ltd,"  Address - Grape Garden 5th Floor, #31 CSRIE				  				  17th H Main Road, 6th Block, Koramangala","				        Bangalore / Bengaluru	                Karnataka , 560095	 (080) 66960600",www.centillioncosmos.com
Centire Inc.,"  Address - Suit No: 11, 5th Floor,				  				  Metropolis Mall, O.P. Jindal Marg,","				        Hisar	                Haryana , 125005	 (01662) 9466253098",centire.in
Centrafest Technologies Mumbai Pvt Ltd,"  Address - P 62/1, Main Rd, Dombivli Industrial Area				  				  Dombivli East,","				        Thane	                Maharashtra , 421203	 (0251) 9820501457",
Central Data Systems Pvt Ltd,"  Address - 50, 27th Main, I Cross, BTM Layout I Stage				        Bangalore / Bengaluru	                Karnataka , 560068	 (080) 40454545",www.cdspl.com,
Central India Consultancy Service,"  Address - 971, Opp Telecom Factory,				  				  Gate No-4, Wright Town","				        Jabalpur	                Madhya Pradesh , 482002	 (0761) 8770191126",cics.co.in
Central Systems & Technologies,"  Address - 34, Perfect Society, Pannase Lay-Out				  				  Bhamti","				        Nagpur	                Maharashtra , 440022	 (0712) 2287535  9422105945",www.centralsystech.com
"Centre for Development of Advanced Computing , Mumbai (CDAC) ","  Address - Gulmohar Cross Road No. 9, Juhu				        Mumbai	                Maharashtra , 400049	 (022) 26201606",www.cdac.in,
"Centre for Development of Advanced Computing, Bangalore (CDAC) ","  Address - No.1, Old Madras Road				  				  Byappanahalli","				        Bangalore / Bengaluru	                Karnataka , 560038	 (080) 66116400  66116401",www.cdac.in
"Centre for Development of Advanced Computing, Chennai (CDAC) ","  Address - TIDEL Park 8th Floor D Block (North & South)				  				  No.4, Rajiv Gandhi Salai, Taramani","				        Chennai	                Tamil Nadu , 600113	 (044) 22542226  22542227",www.cdac.in
"Centre for Development of Advanced Computing, Delhi (CDAC) ","  Address - First and Second Floors				  				  E - 25, Hauz Khas Market","				        New Delhi	                Delhi , 110016	 (011) 26510221",www.cdac.in
"Centre for Development of Advanced Computing, Hyderabad (CDAC) ",  Address - Plot No 6 & 7 Hardware Park Pahari Sharif				  				  Survey No 1/1,"				        Hyderabad	                Telangana , 500005	 (040) 23737125  23737124",www.cdachyd.in
"Centre for Development of Advanced Computing, Kolkata (CDAC) ","  Address - Plot- E-2/1, Block-GP, Sector - V				  				  Saltlake Electronics Complex Bidhannagar","				        Kolkata	                West Bengal , 700091	 (033) 23579846   23575989",www.cdac.in
"Centre for Development of Advanced Computing, Mohali(C-DAC Mohali) (CDAC) ","  Address - A-34 Industrial Area, Phase VIII, Mohali				        Chandigarh	                Chandigarh , 160071	 (0172) 2237052  6619000",www.cdac.in,
"Centre for Development of Advanced Computing, Noida (CDAC) (CDAC) ","  Address - B-30, Sector-62				  				  Institution Area","				        Noida	                Uttar Pradesh , 201307	 (0120) 3063371  3063311",www.cdac.in
"Centre for Development of Advanced Computing, Pune (CDAC) ","  Address - Pune University Campus,Ganesh Khind				        Pune	                Maharashtra , 411007	 (020) 25704100",www.cdac.in,
"Centre for Development of Advanced Computing, Thiruvananthapuram (CDAC) ","  Address - P.B.NO:6520, Vellayambalam				        Thiruvananthapuram	                Kerala , 695033	 (0471) 2723333",www.cdac.in,
Centre for Incubation and Business Acceleration,"  Address - Agnel Technical Education Complex Verna, Salcete				        Goa	                Goa , 403722	 (0832) 2791420  2790060",www.ciba.org.in,
Centre of Advanced Software Technology & Solutions Pvt Ltd (CASTS),"  Address - CASTS House				  				  Pl No:B-34, BDA Duplex Colony Baramunda","				        Bhubaneswar	                Orissa , 751003	 (0674) 9438055066",www.casts.co.in
Centre of Excellence In Wireless Technology(CEWiT),"  Address - 3rd Floor, IITN Research Park				  				  kanagam Road, Taramani","				        Chennai	                Tamil Nadu , 600113	 (044) 66469201  66469212",www.cewit.org.in
Centre Of Recognition & Excellence Pvt. Ltd,"  Address - 4090 & 4091 - C Wing, 4th Floor				  				  Oberoi Estate Gardens","				        Mumbai	                Maharashtra , 400072	 (022) 42256500",www.core-mediagroup.com
Centris InfoTech Services Pvt Ltd,"  Address - 13, Amarjyoti Layout,				  				  3 Floor, Sanjay Nagar Main Road","				        Bangalore / Bengaluru	                Karnataka , 560094	 (080) 9840346158",centrisinfotech.com
Century Computers,"  Address - 272 Kaveri Complex, 2nd Floor				  				  96 Nungambakkam High Road","				        Chennai	                Tamil Nadu , 600034	 (044) 28250238",www.centurycomputers.biz
Century Gate Software Solutions Pvt Ltd( Integra Software ),"  Address - Pazhoor Arcade, Patturaikkal				        Thrissur	                Kerala , 680022	 (0487) 2322006",www.integrasoftware.in,
Century Websites,"  Address - Kemasaar Flat 11A Palace Court 1 Kyd Street				        Kolkata	                West Bengal , 700016	 (033) 40068537  22178537",www.centurywebsites.com,
CenturyLink Technologies India Pvt Ltd,"  Address - Salarpuria Hallmark Block B, I & II Floor				  				  2B Wing Survey No.15/3 &16,Kadubeesana Halli,Varthur Hobli","				        Bangalore / Bengaluru	                Karnataka , 560087	 (080) 66163330",www.centurylinkindia.com
Centurysoft Pvt Ltd,"  Address - 701, Zero One IT Park, Koregaon Park Annexe				        Pune	                Maharashtra , 411036	 (020) 26880299",www.centurysoft.com,
CEPTES Software Pvt Ltd,"  Address - Unit 519A,5th Floor, Beta Block, Sigma Tech Park				  				  Whitefield Road","				        Bangalore / Bengaluru	                Karnataka , 560066	 (080) 40901082",www.ceptes.com
Cerebra Integrated Technologies Ltd,"  Address - S-5, Off 3rd Cross, Peenya Industrial Area Peenya				        Bangalore / Bengaluru	                Karnataka , 560058	 (080) 22046969",www.cerebracomputers.com,
Ceredox Technologies Pvt Ltd,"  Address - 1-63-5-8B, Kavuri Hills,				  				  Jubilee Hills,","				        Hyderabad	                Telangana , 500033	 (040) 40325500",www.ceredox.com
Ceres Infotech Pvt Ltd,"  Address - 11-LSC,B-Block Mayur Vihar Phase-II				        New Delhi	                Delhi , 110034	 (011) 65171421  8802034056",www.ceresinfotech.com,
Cerillion Technologies (I) Pvt. Ltd,"  Address - Cyber City, Tower V,Level  2, Wing  B,Magarpatta City,Hadapsar,				        Pune	                Maharashtra , 411013	 (020) 30418000",www.cerillion.com,
Cerium Systems Pvt Ltd,"  Address - #157/A, 3rd Floor, Sector 5				  				  Outer Ring Road, HSR Layout,","				        Bangalore / Bengaluru	                Karnataka , 560102	 (080) 8105519944",www.cerium-systems.com
Cerner Healthcare Solutions Pvt Ltd,"  Address - Ground Floor, Wing B, Block H2, Mountain Ash				  				  Manyata Embassy Business Park Nagawara","				        Bangalore / Bengaluru	                Karnataka , 560045	 (080) 33010400",www.cerner.com
Certview Technologies Pvt Ltd,"  Address - B Wing, 1st Floor, Office No 132				  				  Shoppers Orbit, Vishrantwadi","				        Pune	                Maharashtra , 411015	 (020) 9922939355",www.certviewtech.com
Cerulean Information Technology Pvt Ltd,"  Address - # 45, Ground Floor & 1st Floor, Industrial Layout, Koramangala				        Bangalore / Bengaluru	                Karnataka , 560095	 (080) 65974486  65974487",www.ceruleaninfotech.com,
CETAS Information Technology Pvt Ltd,"  Address - Phase 2 , No 21 & 22 Wood Creek County				  				  St. Thomas Mount","				        Chennai	                Tamil Nadu , 600016	 (044) 42850231",www.cetastech.com
ceTe Software Pvt Ltd,"  Address - No. 506, 1st Floor,Vishwamanava Double Road				  				  Kuvempunagar","				        Mysore	                Karnataka , 570023	 (0821) 2343469",www.cete.com/india
Cetpa Infotech Pvt Ltd,"  Address - D-58, Sector-2, Near Nirula's Hotel				        Noida	                Uttar Pradesh , 201301	 (0120) 4535353",www.cetpainfotech.com,
Cevious Technologies Pvt Ltd,  Address - Plot 11 2nd Floor				  				  Savitri Nagar,"				        New Delhi	                Delhi , 110017	 (011) 40529090  41864365",www.cevious.com
Cezen Technologies Pvt Ltd,  Address - 13th C Cross Kagadasapura				  				  CV Raman nagar,"				        Bangalore / Bengaluru	                Karnataka , 560093	 (080) 42041535",www.cezentech.com
CFI Technologies Pvt Ltd,"  Address - Jeevan Sudha Building, 10th Floor,				  				  42/C, Jawaharlal Nehru Road,","				        Kolkata	                West Bengal , 700071	 (033) 22880082",www.cfiholding.com
CG-VAK Software & Exports Ltd,"  Address - 171 Mettupalayam Road,				        Coimbatore	                Tamil Nadu , 641043	 (0422) 2434491   2434492",www.cgvakindia.com,
Cgi Information Systems & Management Consultants Pvt Ltd,"  Address - Electronic City Post Tower 2, Survey No: 95/1 and 95/2				  				  Electronic City Phase 1 (West)","				        Bangalore / Bengaluru	                Karnataka , 560100	 (080) 66422222  28521224",www.cgi.com
CGI Software Pvt Ltd,"  Address - Devyasree Technopolis  , No. 124/125 Yemlur				  				  Off Airport Road","				        Bangalore / Bengaluru	                Karnataka , 560037	 (080) 41940000  66422222",www.cgi.com
CGS Infotech Ltd,"  Address - 201, Gundecha Industrial Complex				  				  Akurli Road, Kandivali (East)","				        Mumbai	                Maharashtra , 400101	 (022) 28859000",www.cgsinfotech.com
CGtech IT Services Pvt. Ltd.,"  Address - 117/688 'O' Block Geeta Nagar				        Kanpur	                Uttar Pradesh , 208025	 (0512) 9696007910",www.cgtechworld.com,
Chabria Infotech Pvt Ltd,"  Address - 45, Karnani Estate, 1st Floor,209, A.J.C. Bose Road				        Kolkata	                West Bengal , 700017	 (033) 22803375  22803376",www.chabria.com,
Chadha Software Technologies,"  Address - 139 Cheema Nagar				        Jalandhar	                Punjab , 144003	 (0181) 4613940",www.chadhaajay.net,
Chahal Computer & Co,"  Address - 20 21L, Fruit Garden,				  				  NH V, NIT","				        Faridabad	                Haryana , 121001	 (0129) 2417724  9810062752",www.chahalcomputer.com
,,,
Champak Infosolution,"  Address - 41 Lenin Sarani 3rd Floor				        Kolkata	                West Bengal , 700013	 (033) 22272887   40627116",www.champak.co.in,
Champion Computers Pvt Ltd,"  Address - 188 Dsidc Okhla Phase-1				        New Delhi	                Delhi , 110020	 (011) 40401200",www.championindia.com,
Champion Networks Pvt Ltd,"  Address - SCF-29, Main Market Sector-14				        Karnal	                Haryana , 132001	 (0184) 4022033  9122312280",www.champcash.com,
Champs Tech Solutions,  Address - 23/1 Ambedkar Street				  				  Saligramam,"				        Hyderabad	                Telangana , 500081	 (040) 42288220",www.champsts.com
Changepond Technologies Ltd,"  Address - H-2 Sipcot IT Park, Old Mahabalipuram Road, Siruseri				        Chennai	                Tamil Nadu , 603103	 (044) 47480004  47480000",www.changepond.com,
Channel Mentor IT Solutions Pvt Ltd,"  Address - #74,Shankara Arcade				  				  Vanivilas Road,   Basavanagudi","				        Bangalore / Bengaluru	                Karnataka , 560004	 (080) 26602550",www.channelmentor.com
Channel Softech Pvt Ltd.,"  Address - S-5, 2nd Floor, Swastik Manandi Arcade,S.C. Road				  				  Sheshadripuram","				        Bangalore / Bengaluru	                Karnataka , 560020	 (080) 23562309  41241820",www.channelsoftech.com
Charter Global,"  Address - 3-6-770/2. Himayatnagar				        Hyderabad	                Telangana , 500029	 (040) 66465977  66465978",www.charterglobal.com,
Chartered Information Systems Pvt Ltd,"  Address - West of Lata Mangeshkar Musical Park,				  				  Bhandara Road,","				        Nagpur	                Maharashtra , 440008	 (0712) 6638888",www.charteredinfo.com
Chattary Ajwan InfoTech Pvt Ltd,"  Address - A-601-604, Nirman Complex, 6TH Floor, Opp Havmor				  				  Restaurant, Navrangpura","				        Ahmedabad	                Gujarat , 380009	 (079) 26423468",www.chattary.com
Chatur Computer Services Pvt Ltd,"  Address - 201, The 4th Dimension, Mehendale Garage Road				  				  Erandawana","				        Pune	                Maharashtra , 411004	 (020) 25440553",www.chatur.com
Check Point Software Technologies Ltd,"  Address - 33/1, 4th Floor, Vittal Mallya Road				        Bangalore / Bengaluru	                Karnataka , 560001	 (080) 30791400",www.checkpoint.com,
CheeseBurst,"  Address - Maple Wood , 405				  				  Pune Nagar Rd, Kalyani Nagar","				        Pune	                Maharashtra , 411014	 (020) 65100011",www.cheeseburst.com
Chella Software Pvt Ltd,"  Address - No 5, 1st Floor, Ishwariya Lakshmi Complex				  				  Lake View Road, K K Nagar","				        Madurai	                Tamil Nadu , 625020	 (0452) 4262000  9840549494",www.chelsoft.com
Chembian Technologies Pvt Ltd,"  Address - No. 9, 1st & 3rd Floors, Sambantham				  				  Gardens, Taramani Link Road, Velachery,","				        Chennai	                Tamil Nadu , 600042	 (044) 43213262",www.chembiantech.com
Chemtrols Infotech Pvt Ltd,"  Address - Amar Hill, Saki Vihar Road				  				  Powai","				        Mumbai	                Maharashtra , 400072	 (022) 67151200",chemtrolsinfotech.com
Chenab Information Technologies Pvt. Ltd.,"  Address - J-1A, Ansa Industrial Estate, Saki Vihar Road				  				  Saki Naka","				        Mumbai	                Maharashtra , 400072	 (022) 28291614  28471623",www.chenab.com
Chennai Datacom Pvt Ltd,"  Address - Flat No. 1 , Ground Floor , Sri Krishan Appartment ,				  				  T . Nagar","				        Chennai	                Tamil Nadu , 600017	 (044) 9884099082",
Chennai Web Development,"  Address - New No 61 Old No 36,				  				  2nd Floor, Arcot Main Road,Opp. To ADIDAS Show Room, Kodambakkam","				        Chennai	                Tamil Nadu , 600024	 (044) 43534999",www.chennaiwebdevelopment.com
Chenoa Information & Software Services Pvt Ltd,"  Address - Premier House,				  				  5th Floor, MIDC, Andheri(E)","				        Mumbai	                Maharashtra , 400093	 (022) 66905299  66960040",www.chenoainc.com
Cheric Information Network Technologies Pvt Ltd,"  Address - 303, 4th floor, Siri Sampada Hitech, Kavuri Hills				  				  Madhapur","				        Hyderabad	                Telangana , 500033	 (040) 40058555  40037666",www.cherictechnologies.com
Cherri Technologies,"  Address - No.22,1st Floor, Laporte street,				        Puducherry (Pondicherry)	                Tamil Nadu , 605001	 (0413) 2227716",www.cherritech.com,
Cherry E Commerce Services Pvt Ltd,"  Address - A-72 Sector - 2				        Noida	                Uttar Pradesh , 201301	 (0120) 4332621",www.cherryecom.com,
Cherrytec Intelisolve Ltd,"  Address - Jamals Chambers, 1st Floor,				  				  49 Anna Salai, Saidapet","				        Chennai	                Tamil Nadu , 600015	 (044) 40301520  40301515",www.cherrytec.com
Cherukuri Group,"  Address - Door No. 6-1-200/9, Plot No. 29, Phase-1				  				  Cherukuri Business Complex, Vanasthalipuram","				        Hyderabad	                Telangana , 500070	 (040) 24125356",www.cherukurigroup.com
Cheshta Infotech Pvt Ltd,"  Address - 405, The Mark, 20-A, Old Palasia				  				  Anand Bazar Square","				        Indore	                Madhya Pradesh , 452018	 (0731) 2565099  24025099",cheshtainfotech.com
Chetu India Pvt Ltd,"  Address - A block, 186/187, sec -63				        Noida	                Uttar Pradesh , 201301	 (0120) 4237301",www.chetu.com,
Chi Networks India Pvt Ltd,"  Address - 5, Sant Nagar, Main Road				  				  East of Kailash,","				        New Delhi	                Delhi , 110065	 (011) 49611111",www.chinetworks.com
CHIC Infotech Pvt Ltd,"  Address - 457  D, Vashi Plaza, Sector 17, Vashi				        Mumbai	                Maharashtra , 400705	 (022) 27898998  27898996",www.chicinfotech.com,
Chickpea India Software Pvt Ltd,"  Address - Shaila Towers, J-1/16, EP & GP Block, Sector-V,				  				  Electronics Complex, Salt Lake,","				        Kolkata	                West Bengal , 700091	 (033) 40073063",www.chikpea.com
Chintech Systems,"  Address - 49, Nalanda Complex, Nr. Mansi Complex,				  				  Premchandnagar Road","				        Ahmedabad	                Gujarat , 380015	 (079) 26753735   65214842",chintechsystems.com
ChipEdge Technologies Pvt Ltd,"  Address - 19, 2nd Floor, 9th Cross,				  				  ITI Layout, 1st Phase, JP Nagar","				        Bangalore / Bengaluru	                Karnataka , 560078	 (080) 9611766442",www.chipedge.com
Chips & Bytes Infotech,"  Address - 625, JSS Road, 304 / 3rd floor , Pandya Mansion				  				  Opp. Parsi Agyari,Marine Lines (East)","				        Mumbai	                Maharashtra , 400002	 (022) 40468888",www.chipsandbytes.co.in
Chips Software Systems Pvt Ltd,"  Address - Sahitya Parishad Building,				  				  Hospital Road,Adjecent to Ernakulam Head Post Office","				        Kochi	                Kerala , 682011	 (0484) 9847087276",
ChipTest Engineering Ltd,"  Address - 18, Zakaria Colony,				  				  1st Street, Choolaimedu","				        Chennai	                Tamil Nadu , 600094	 (044) 47405469  45024300",www.chiptest.in
Chira Information Technologies,"  Address - No- 51/E Ground Floor, 15th Main Road				  				  Vijay Nagar 2nd Stage","				        Bangalore / Bengaluru	                Karnataka , 560040	 (080) 41270201",www.chirait.com
Chirag InfoTech Solution,"  Address - 219 Shukan Mall, Science City Road				        Ahmedabad	                Gujarat , 380060	 (079) 9377482586",www.chequeprintingplus.com,
Chitale Digitals (Chitale),"  Address - Bhilwadi Station Tal. Palus				        Tal Palus	                Maharashtra , 416303	 (02346) 233112",www.chitaledigitals.com,
Chocolate Box Studios Pvt Ltd,"  Address - Kundanalli Gate Star Extra,				  				  Tower Delta, Block-B, Varthur Hobli, East Taluk","				        Bangalore / Bengaluru	                Karnataka , 560037	 (080) 8096896465  9901849951",
Choice Solutions Ltd,"  Address - Plot No.13/1, Ennar's Excellency,				  				  Huda Enclave, Sector  1, Madhapur, Hi-Tech City","				        Hyderabad	                Telangana , 500081	 (040) 9866111072",www.choice-solutions.com
Choose To Thinq,"  Address - Aundh Road				        Pune	                Maharashtra , 411020	 (020) 9890454910",www.choosetothinq.com,
Chrisranjana Software Solutions Pvt Ltd,"  Address - 1, Velachery Road				        Chennai	                Tamil Nadu , 600042	 (044) 65636224",www.chrisranjana.com,
Chrome Data Analytics & Media Pvt Ltd,"  Address - 819, World Trade Towers, C-01, DND Flyway				  				  Sector 16","				        Noida	                Uttar Pradesh , 201301	 (0120) 4549562    6945000",www.chromedm.com
Chrome Infosoft Solutions Pvt Ltd,"  Address - Nandghanshyam Indl. Estate				  				  Unit No. 16, First Floor, Near Paper Box, Off Mahakali Caves Road, Andheri East","				        Mumbai	                Maharashtra , 400093	 (022) 65232482   66710344",www.chromeinfosoft.com
CI Infotech Pvt Ltd,"  Address - K 33 A Basement Green Park Main				        New Delhi	                Delhi , 110016	 (011) 26962073",www.ciinfotech.net,
Cibersites India Pvt Ltd,"  Address - 6th & 7th Floor,Tower 3, Block B,				  				  Bagmane World Technology Centre, SEZ  Mahadevapura","				        Bangalore / Bengaluru	                Karnataka , 560048	 (080) 66990500  66998300",www.ciber.com
CICC Automation Technologies Pvt Ltd,"  Address - B101-102, Sweena, Kondivita Lane,				  				  Off Andheri-Kurla Road, Andheri (East)","				        Mumbai	                Maharashtra , 400059	 (022) 9833120200",www.ciccautomation.com
Cigital Asia Pvt Ltd,"  Address - Prestige Blue Chip III Block 4th Floor				  				  No. 9, Hosur Road","				        Bangalore / Bengaluru	                Karnataka , 560029	 (080) 67720200",www.cigital.com
CIGNEX Datamatics Technologies Ltd,"  Address - 2nd Floor, President Plaza Opp. Muktidham Derasar				  				  Thaltej Cross Roads, S G Highway","				        Ahmedabad	                Gujarat , 380054	 (079) 67010300",www.cignex.com
Cigniti Technologies Ltd,"  Address - 6th Floor, ORION Block, The V (Ascendas)				  				  Plot No#17 Software Units Layout Madhapur","				        Hyderabad	                Telangana , 500081	 (040) 40382255",www.cigniti.com
Cimcon Software India Pvt Ltd,"  Address - 801 & 802 SAKAR IV, Ellisbridge,				        Ahmedabad	                Gujarat , 380006	 (079) 26578639  26578659",www.cimconsolutions.com,
Cindrel Infotech Pvt Ltd,"  Address - 197, Lakshmi Towers, First Main Road, Nehru Nagar				  				  Rajiv Gandhi Salai  OMR, Kottivakkam","				        Chennai	                Tamil Nadu , 600096	 (044) 45590055",www.cindrel.com
Cinesoft Pvt Ltd,"  Address - 37/406D, 2nd Floor,Bluemoon Arcade				  				  Temple Road, Kadavanthra","				        Kochi	                Kerala , 682020	 (0484) 4059662  4059663",www.cinesoft.net
CipherCloud,"  Address - Unit No: 4-01, 4th Floor, Block-2, Cyber Pearl				  				  Hitech City Main Road, HItech City","				        Hyderabad	                Telangana , 500081	 (040) 47485555",www.ciphercloud.com
Cirel Systems Pvt Ltd,"  Address - 303, First Floor, A-Block, 60 Ft. Road				  				  AECS Layout, Kundalhalli","				        Bangalore / Bengaluru	                Karnataka , 560037	 (080) 40526200",www.cirelsystems.com
Cirrius Technologies Pvt Ltd,"  Address - A-19, MIDC Area,  Cross Road B				  				  Andheri (East),","				        Mumbai	                Maharashtra , 400093	 (022) 40956060",www.cirrius.com
CirroLogix Technologies Pvt Ltd,"  Address - J.S Towers,L32, 2nd A Main Road				  				  HSR Layout,6th Sector, Outer Ring Road, Agara,","				        Bangalore / Bengaluru	                Karnataka , 560034	 (080) 49034555  49034666",www.cirrologix.com
CIS IT Solutions Pvt Ltd.,"  Address - 5th Floor, Technopolis				  				  Golf Course Road, Sector 54","				        Gurgaon/Gurugram	                Haryana , 122001	 (0124) 9417008801  9910094596",
Cisco Systems India Pvt Ltd,"  Address - Cessna Business Park, Kadubeesanhalli Village				  				  Varthur, Hobli, Sarjapur, Outer Ring Road, Marathahalli","				        Bangalore / Bengaluru	                Karnataka , 560037	 (080) 44260000  41593000",www.cisco.com
Citadel Research & Solutions Ltd,"  Address - 35, Sai Enclave, Road No 12, Banjara Hills				        Hyderabad	                Telangana , 500034	 (040) 23301959  23301960",www.citadelh.com,
CitiusTech Healthcare Technology Pvt Ltd,"  Address - Teritex Building, 41/2, Saki Vihar Lake Road				        Mumbai	                Maharashtra , 400072	 (022) 61536000",www.citiustech.com,
CitiXsys Technologies Ltd,"  Address - A-24/5, MCIE, Mathura Road,				        New Delhi	                Delhi , 110044	 (011) 42696666",www.citixsys.com,
